gene_symbol,ensembl_id,editor_system,sample,cell_line,condition,edited,raw_count,genome_build,source_file
SNRPN,ENSG00000128739,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,8,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,288,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,116,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,133,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,WT_Tet1_NT_rep3,WT,non_targeting,False,250,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,PWS_Tet1_NT_rep3,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,PWS_Tet1_mat3_rep3,PWS,maternal_reactivation_guide,True,115,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,WT_Tet1_NT_rep2,WT,non_targeting,False,245,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,45,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,28818,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,12120,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,11165,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,WT_Tet1_NT_rep3,WT,non_targeting,False,20497,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,PWS_Tet1_NT_rep3,PWS,non_targeting,False,21,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,PWS_Tet1_mat3_rep3,PWS,maternal_reactivation_guide,True,14578,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,WT_Tet1_NT_rep2,WT,non_targeting,False,26693,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,20,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,671,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,WT_Tet1_NT_rep3,WT,non_targeting,False,408,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,PWS_Tet1_NT_rep3,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,PWS_Tet1_mat3_rep3,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,WT_Tet1_NT_rep2,WT,non_targeting,False,632,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NDN,ENSG00000182636,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,1,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,WT_Tet1_NT_rep3,WT,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,PWS_Tet1_NT_rep3,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,PWS_Tet1_mat3_rep3,PWS,maternal_reactivation_guide,True,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,WT_Tet1_NT_rep2,WT,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
MKRN3,ENSG00000181092,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,0,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,186,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,278,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,158,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,126,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,WT_Tet1_NT_rep3,WT,non_targeting,False,232,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,PWS_Tet1_NT_rep3,PWS,non_targeting,False,118,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,PWS_Tet1_mat3_rep3,PWS,maternal_reactivation_guide,True,157,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,WT_Tet1_NT_rep2,WT,non_targeting,False,263,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
NPAP1,ENSG00000166922,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,118,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,1693,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,3159,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,1376,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,1131,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
