gene_symbol,editor_system,sample,raw_count,cell_type,source_file
MKRN3,dCas9-Tet1,PWS_Tet1c_mat3_r2,1.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MKRN3,dCas9-Tet1,PWS_Tet1c_mat3_r3,1.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MKRN3,dCas9-Tet1,PWS_Tet1c_NT_r1,1.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MKRN3,dCas9-Tet1,PWS_Tet1c_NT_r2,4.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MKRN3,dCas9-Tet1,PWS_Tet1c_NT_r3,1.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MKRN3,dCas9-Tet1,WT_Tet1c_NT_r1,55.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MKRN3,dCas9-Tet1,WT_Tet1c_NT_r2,62.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_mat3_r2,2.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_mat3_r3,0.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_NT_r1,1.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_NT_r2,2.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_NT_r3,0.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,WT_Tet1c_NT_r1,30.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,WT_Tet1c_NT_r2,43.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_mat3_r2,3.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_mat3_r3,3.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_NT_r1,1.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_NT_r2,0.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,PWS_Tet1c_NT_r3,4.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,WT_Tet1c_NT_r1,22.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
MAGEL2,dCas9-Tet1,WT_Tet1c_NT_r2,17.0,neuron,GSE285305_Tet1-featurecounts.csv.gz
