catalog_rank,strategy,tet1_grna_id,vp64_grna_id,tet1_nearest_peak_dist_bp,tet1_nearest_peak_log2fpkm,tet1_within_500bp_peaks,tet1_max_log2fpkm_within_500bp,tet1_accessibility_score,tet1_integrated_atac_flag,vp64_nearest_peak_dist_bp,vp64_nearest_peak_log2fpkm,vp64_within_500bp_peaks,vp64_max_log2fpkm_within_500bp,vp64_accessibility_score,vp64_integrated_atac_flag
1,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.9414,4646,0.17,0,,0.161,False,3939.0,0.637,0.0,,0.182,False
2,Hybrid_Tet1_VP64,PWS_G.3437,PWS_G.9414,4760,0.17,0,,0.157,False,3939.0,0.637,0.0,,0.182,False
3,Hybrid_Tet1_VP64,PWS_G.3858,PWS_G.9414,5017,0.17,0,,0.149,False,3939.0,0.637,0.0,,0.182,False
4,Hybrid_Tet1_VP64,PWS_G.5691,PWS_G.9414,4761,0.17,0,,0.157,False,3939.0,0.637,0.0,,0.182,False
5,Hybrid_Tet1_VP64,PWS_G.5452,PWS_G.9414,4649,0.17,0,,0.161,False,3939.0,0.637,0.0,,0.182,False
6,Hybrid_Tet1_VP64,PWS_G.1288,PWS_G.9414,4755,0.17,0,,0.157,False,3939.0,0.637,0.0,,0.182,False
7,Hybrid_Tet1_VP64,PWS_G.6065,PWS_G.9414,4766,0.17,0,,0.157,False,3939.0,0.637,0.0,,0.182,False
8,Hybrid_Tet1_VP64,PWS_G.2815,PWS_G.9414,4571,0.17,0,,0.163,False,3939.0,0.637,0.0,,0.182,False
9,Hybrid_Tet1_VP64,PWS_G.4627,PWS_G.9414,4624,0.17,0,,0.161,False,3939.0,0.637,0.0,,0.182,False
10,Hybrid_Tet1_VP64,PWS_G.5274,PWS_G.9414,4615,0.17,0,,0.162,False,3939.0,0.637,0.0,,0.182,False
11,Hybrid_Tet1_VP64,PWS_G.4521,PWS_G.9414,4729,0.17,0,,0.158,False,3939.0,0.637,0.0,,0.182,False
12,Hybrid_Tet1_VP64,PWS_G.5029,PWS_G.9414,4650,0.17,0,,0.16,False,3939.0,0.637,0.0,,0.182,False
13,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.8738,4646,0.17,0,,0.161,False,3940.0,0.637,0.0,,0.182,False
14,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.4662,4646,0.17,0,,0.161,False,22930.0,0.836,0.0,,0.0,False
15,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.5117,4646,0.17,0,,0.161,False,22812.0,0.836,0.0,,0.0,False
16,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.4862,4646,0.17,0,,0.161,False,3404.0,0.914,0.0,,0.198,False
17,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.10218,4646,0.17,0,,0.161,False,3932.0,0.637,0.0,,0.182,False
18,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.6318,4646,0.17,0,,0.161,False,23186.0,0.836,0.0,,0.0,False
19,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.3437,4646,0.17,0,,0.161,False,4760.0,0.17,0.0,,0.157,False
20,Tet1_monotherapy,PWS_G.4670,,4646,0.17,0,,0.161,False,,,,,,
21,Hybrid_Tet1_VP64,PWS_G.3437,PWS_G.8738,4760,0.17,0,,0.157,False,3940.0,0.637,0.0,,0.182,False
22,Hybrid_Tet1_VP64,PWS_G.3858,PWS_G.8738,5017,0.17,0,,0.149,False,3940.0,0.637,0.0,,0.182,False
23,Hybrid_Tet1_VP64,PWS_G.5691,PWS_G.8738,4761,0.17,0,,0.157,False,3940.0,0.637,0.0,,0.182,False
24,Hybrid_Tet1_VP64,PWS_G.5452,PWS_G.8738,4649,0.17,0,,0.161,False,3940.0,0.637,0.0,,0.182,False
25,Hybrid_Tet1_VP64,PWS_G.6065,PWS_G.8738,4766,0.17,0,,0.157,False,3940.0,0.637,0.0,,0.182,False
