grna_id,editor_system,propagation_scores,SNRPN_propagated,SNHG14_propagated,combined_propagation
PWS_G.7574,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0015714442887256113, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0015714442887256113,0.0007857221443628057
PWS_G.3535,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.3094,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.741,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.2979,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.2288,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.2815,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.3130,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.306,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.4627,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.4670,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.5452,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.5029,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.7440,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.4658,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.4521,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.595,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.1867,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.5274,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.001003842375653989, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.001003842375653989,0.0005019211878269945
PWS_G.1288,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.7302,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.5691,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.6065,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.6298,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.3437,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.4363,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.3268,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.4871,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.5679,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.3338,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.7751,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.3858,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.5478,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.3193,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539888, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539888,0.0005019211878269944
PWS_G.7752,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.3107,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.6001,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.1173,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.8032,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.7011,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.2746,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.3482,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.853,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.7410,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.3477,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.4841,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.3464,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.7259,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.7924,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.5890,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.4676,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539886, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539886,0.0005019211878269943
PWS_G.4903,dCas9-Tet1,"{'SNRPN': 0.0, 'SNHG14': 0.0010038423756539884, 'UBE3A': 0.0, 'ATP10A': 0.0}",0.0,0.0010038423756539884,0.0005019211878269942
