catalog_rank,strategy,tet1_grna_id,vp64_grna_id,uncertainty,sigma_pct,p_SNRPN_in_window,p_SNHG14_in_window,p_both_in_window
1,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.9414,0.147,3.675,0.49756,1.0,0.49756
2,Hybrid_Tet1_VP64,PWS_G.3437,PWS_G.9414,0.151,3.775,0.50216,1.0,0.50216
3,Hybrid_Tet1_VP64,PWS_G.3858,PWS_G.9414,0.151,3.775,0.50152,1.0,0.50152
4,Hybrid_Tet1_VP64,PWS_G.5691,PWS_G.9414,0.152,3.8,0.50008,1.0,0.50008
5,Hybrid_Tet1_VP64,PWS_G.5452,PWS_G.9414,0.153,3.8249999999999997,0.50088,1.0,0.50088
6,Hybrid_Tet1_VP64,PWS_G.1288,PWS_G.9414,0.153,3.8249999999999997,0.504,1.0,0.504
7,Hybrid_Tet1_VP64,PWS_G.6065,PWS_G.9414,0.153,3.8249999999999997,0.49774,1.0,0.49774
8,Hybrid_Tet1_VP64,PWS_G.2815,PWS_G.9414,0.153,3.8249999999999997,0.49624,1.0,0.49624
9,Hybrid_Tet1_VP64,PWS_G.4627,PWS_G.9414,0.154,3.85,0.49942,1.0,0.49942
10,Hybrid_Tet1_VP64,PWS_G.5274,PWS_G.9414,0.155,3.875,0.50184,1.0,0.50184
11,Hybrid_Tet1_VP64,PWS_G.4521,PWS_G.9414,0.155,3.875,0.49658,1.0,0.49658
12,Hybrid_Tet1_VP64,PWS_G.5029,PWS_G.9414,0.156,3.9,0.50114,1.0,0.50114
13,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.8738,0.147,3.675,0.5011,1.0,0.5011
14,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.3437,0.171,4.275,0.4996,1.0,0.4996
15,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.4862,0.153,3.8249999999999997,0.50136,1.0,0.50136
16,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.5117,0.147,3.675,0.4994,1.0,0.4994
17,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.4662,0.147,3.675,0.49868,1.0,0.49868
18,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.10218,0.156,3.9,0.49752,1.0,0.49752
19,Hybrid_Tet1_VP64,PWS_G.4670,PWS_G.6318,0.164,4.1000000000000005,0.50636,1.0,0.50636
20,Tet1_monotherapy,PWS_G.4670,,0.122,3.05,0.0,1.0,0.0
21,Hybrid_Tet1_VP64,PWS_G.3437,PWS_G.8738,0.151,3.775,0.50454,1.0,0.50454
22,Hybrid_Tet1_VP64,PWS_G.3858,PWS_G.8738,0.151,3.775,0.49938,1.0,0.49938
23,Hybrid_Tet1_VP64,PWS_G.5691,PWS_G.8738,0.152,3.8,0.4992,1.0,0.4992
24,Hybrid_Tet1_VP64,PWS_G.5452,PWS_G.8738,0.153,3.8249999999999997,0.50056,1.0,0.50056
25,Hybrid_Tet1_VP64,PWS_G.6065,PWS_G.8738,0.153,3.8249999999999997,0.49694,1.0,0.49694
