probe_id,205121980077_R01C01.AVG_Beta,205121980077_R02C01.AVG_Beta,205121980077_R03C01.AVG_Beta,205121980077_R04C01.AVG_Beta,205121980077_R05C01.AVG_Beta,205121980077_R06C01.AVG_Beta,205121980077_R07C01.AVG_Beta,205121980077_R08C01.AVG_Beta,IlmnID,CHR,MAPINFO,UCSC_RefGene_Name,Relation_to_UCSC_CpG_Island,chrom_hg19,pos_hg19,chrom_hg38,pos_hg38,liftover_mapped,beta_mean,beta_std
cg00020649,0.02273298,0.02999774,0.0247708,0.06698522,0.02055921,0.01631117,0.02941925,0.02236354,cg00020649,15,28341562,OCA2,Island,chr15,28341562,chr15,28096416,True,0.02914248875,0.015934434348347102
cg00021242,0.4767123,0.4400299,0.4787469,0.4694224,0.4345607,0.4120229,0.6447358,0.3672238,cg00021242,15,29773425,FAM189A1,,chr15,29773425,chr15,29481221,True,0.46543183749999995,0.08156154037170665
cg00024722,0.09197829,0.08679844,0.1243298,0.1107102,0.1200365,0.1144266,0.1105891,0.08979121,cg00024722,15,32163260,,,chr15,32163260,chr15,31871057,True,0.1060825175,0.01451716702301771
cg00028598,0.8757287,0.8226459,0.6490828,0.7074656,0.8759395,0.9627795,0.7982618,0.7734127,cg00028598,15,27128633,GABRA5;GABRA5,Island,chr15,27128633,chr15,26883486,True,0.8081645625,0.10001920367337948
cg00030774,0.1891242,0.2230494,0.2577849,0.2663002,0.2103253,0.2565297,0.1867717,0.2271058,cg00030774,15,29432143,FAM189A1,,chr15,29432143,chr15,29139940,True,0.2271239,0.03096231017839039
cg00067141,0.4484305,0.01907196,0.03926701,0.04432907,0.2011494,0.1026874,0.1421791,0.08062353,cg00067141,15,30930499,ARHGAP11B,,chr15,30930499,chr15,30638296,True,0.13471724625,0.14014867580946336
cg00078513,0.275768,0.281414,0.2143726,0.3386866,0.3086427,0.1312684,0.320159,0.2762353,cg00078513,15,25488114,SNORD115-40,,chr15,25488114,chr15,25242967,True,0.26831832499999997,0.0668128526694581
cg00088507,0.8551961,0.7776138,0.7050409,0.7791971,0.8391474,0.8546843,0.8670316,0.80369,cg00088507,15,29499242,FAM189A1,,chr15,29499242,chr15,29207038,True,0.81020015,0.05502615136525022
cg00096039,0.8880734,0.8920509,0.9128675,0.8978672,0.8959193,0.8718817,0.9071196,0.8894879,cg00096039,15,25650950,UBE3A;UBE3A;UBE3A,,chr15,25650950,chr15,25405803,True,0.8944084375,0.01250092944475246
cg00101713,0.8952879,0.8611382,0.8124239,0.7809286,0.8813642,0.9086511,0.9060037,0.834632,cg00101713,15,32984867,SCG5;SCG5,,chr15,32984867,chr15,32692666,True,0.8600536999999999,0.046821109884690765
cg00111677,0.7449934,0.7779924,0.6595162,0.6944118,0.8247758,0.8055058,0.798386,0.7841443,cg00111677,15,32460266,CHRNA7,Island,chr15,32460266,chr15,32168065,True,0.7612157125000001,0.057643016186709466
cg00155844,0.6950834,0.7000405,0.7075872,0.7216639,0.7053465,0.7013135,0.6964138,0.7020926,cg00155844,15,28394612,HERC2,,chr15,28394612,chr15,28149466,True,0.703692675,0.008362570719880351
cg00192533,0.06712815,0.08050221,0.09363564,0.08031484,0.05479861,0.07696281,0.1040158,0.06903073,cg00192533,15,27017906,GABRB3;GABRB3,Island,chr15,27017906,chr15,26772759,True,0.07829859875,0.015446805148337255
cg00204501,0.01120448,0.01300444,0.01269814,0.00810032,0.02012334,0.01278376,0.01257561,0.01170707,cg00204501,15,30114651,TJP1;TJP1;TJP1;TJP1,Island,chr15,30114651,chr15,29822448,True,0.012774645000000001,0.003371225374675675
cg00214012,0.3513816,0.1867762,0.1603319,0.2725418,0.3186274,0.5902196,0.5405522,0.1666065,cg00214012,15,29326467,APBA2;APBA2,,chr15,29326467,chr15,29034264,True,0.32337965,0.16543516095389155
cg00218146,0.01625255,0.009680065,0.006144287,0.01154639,0.009734076,0.004516088,0.008140611,0.007515555,cg00218146,15,31619396,KLF13;KLF13,Island,chr15,31619396,chr15,31327193,True,0.00919120275,0.003605455421068775
cg00232832,0.754591,0.7711625,0.6353596,0.6993068,0.8165833,0.7081013,0.8229505,0.8077257,cg00232832,15,30163660,,,chr15,30163660,chr15,29871457,True,0.7519725875000001,0.0665398811727746
cg00250422,0.06429652,0.06175432,0.08057074,0.07844814,0.06099796,0.05450961,0.06545638,0.05763742,cg00250422,15,28352347,,Island,chr15,28352347,chr15,28107201,True,0.06545888625,0.009358919329640175
cg00284551,0.1140964,0.1076009,0.06316802,0.09738199,0.1082119,0.06760367,0.1694473,0.1102068,cg00284551,15,25429176,SNORD115-8,,chr15,25429176,chr15,25184029,True,0.1047146225,0.03270249732910175
cg00288824,0.08613193,0.0809431,0.1028633,0.08754016,0.08600494,0.08502918,0.08494347,0.06864593,cg00288824,15,26108663,ATP10A,Island,chr15,26108663,chr15,25863516,True,0.08526275125,0.009344263742129162
cg00293012,0.02430887,0.01215605,0.02494568,0.0127306,0.01672381,0.0259229,0.01806971,0.01954699,cg00293012,15,31195899,MTMR15;MTMR15;MTMR15;MTMR15,Island,chr15,31195899,chr15,30903696,True,0.01930057625,0.005388210589738457
